# GREAT version 4.0.4	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
ACAA1	chr3-reg26876 (-640)
ADAMTSL4	chr1-reg105405 (+13539)
ARHGAP31	chr3-reg79033 (+28631)
ARL8B	chr3-reg2799 (-135865)
ASXL1	chr20-reg22020 (-256), chr20-reg22021 (+1470)
ATG5	chr6-reg70513 (+227655)
BATF	chr14-reg36936 (+20502)
BCL2	chr18-reg40647 (-46353)
BCL3	chr19-reg38940 (+4850), chr19-reg38942 (+6144)
BCL6	chr3-reg127678 (+7752)
BHLHE40	chr3-reg2799 (+7239)
BRD8	chr5-reg81126 (-161)
BRE	chr2-reg23594 (+496)
BTBD1	chr15-reg49800 (-251)
C10orf105	chr10-reg47809 (+6111)
C11orf73	chr11-reg61767 (-188)
C17orf62	chr17-reg75208 (-99)
C19orf12	chr19-reg24962 (-497)
C20orf112	chr20-reg22021 (+123649)
C2orf40	chr2-reg75085 (-319626)
CBLC	chr19-reg38940 (-24472), chr19-reg38942 (-23178)
CCND2	chr12-reg4570 (-2805)
CERS3	chr15-reg63887 (-52304)
CIRBP	chr19-reg1356 (-6351)
CISH	chr3-reg38627 (-966)
CLEC16A	chr16-reg10965 (+288765)
CLHC1	chr2-reg43730 (+200)
CREBRF	chr5-reg108461 (+443)
CSNK1G2	chr19-reg2213 (+487)
CUL9	chr6-reg39670 (-7500)
DCUN1D3	chr16-reg18699 (-109)
DDX23	chr12-reg32337 (-86)
DENND4A	chr15-reg32761 (+180)
DHX16	chr6-reg26092 (-10078)
DIO1	chr1-reg55640 (-4079)
DNAJB1	chr19-reg16002 (-362)
DSCAML1	chr11-reg81830 (-18272)
DTX3L	chr3-reg81214 (-274)
EHBP1L1	chr11-reg43390 (-737)
ELF2	chr4-reg77057 (-124)
EMC2	chr8-reg69185 (-425)
ETV6	chr12-reg10651 (-539)
FGD2	chr6-reg33451 (+44865)
FLVCR2	chr14-reg36936 (-35690)
FOSL2	chr2-reg24068 (-1409)
FXYD2	chr11-reg81830 (+9211)
GADD45B	chr19-reg2948 (-572)
GLA	chrX-reg36365 (-480)
GPCPD1	chr20-reg5489 (-601)
GRB7	chr17-reg32835 (+17059)
GTF2IRD2B	chr7-reg50736 (+163)
H3F3B	chr17-reg66741 (-30)
HAS1	chr19-reg46928 (+19467)
HELB	chr12-reg46537 (-396)
HIVEP2	chr6-reg94885 (+137)
HK1	chr10-reg44793 (+31571)
HNRNPF	chr10-reg30203 (-10104)
HNRNPH2	chrX-reg36365 (+110)
HNRNPR	chr1-reg25363 (+1087)
HSPD1	chr2-reg132776 (+404)
HSPE1	chr2-reg132776 (-351)
HSPE1-MOB4	chr2-reg132776 (-770)
HTR1D	chr1-reg25363 (-148494)
ICAM1	chr19-reg11582 (-302)
IFNAR2	chr21-reg10781 (+281)
IKZF3	chr17-reg32835 (+108358)
IL2RB	chr22-reg20046 (+27661)
IL6ST	chr5-reg31363 (+432)
IRF2	chr4-reg102865 (+805)
IRF7	chr11-reg590 (-204)
JUNB	chr19-reg14150 (+2360)
KCNS2	chr8-reg62032 (+399102)
KDSR	chr18-reg40647 (+1029)
KIAA1009	chr6-reg60151 (+187)
